stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10,10,Doctor Lluch - Mediterrània,C DOCTOR LLUCH 99 (DAVANT) - VALÈNCIA,39.4672336950355,-0.328305576746871,,,0,
1007,1007,Jesús Morante Borrás (I),AV JESUS MORANTE BORRAS 26 - VALÈNCIA,39.4509444725862,-0.345372861994771,,,0,
1008,1008,Jesús Morante Borrás (II),AV JESUS MORANTE BORRAS 54 - VALÈNCIA,39.4494371059697,-0.344445298471937,,,0,
1009,1009,Jesús Morante Borrás (III),AV JESUS MORANTE BORRAS 86 - VALÈNCIA,39.4480213643667,-0.343954371096641,,,0,
1010,1010,Jesús Morante Borrás (IV),AV JESUS MORANTE BORRAS 158 - VALÈNCIA,39.4436628721139,-0.343896233049237,,,0,
1012,1012,Jesús Morante Borrás (V),AV JESUS MORANTE BORRAS 201 - VALÈNCIA,39.4417419597863,-0.343803962048275,,,0,
1013,1013,Jesús Morante Borrás (VI),AV JESUS MORANTE BORRAS 151 - VALÈNCIA,39.4437731590831,-0.343796362989469,,,0,
1014,1014,Jesús Morante Borrás (VII),AV JESUS MORANTE BORRAS 75 - VALÈNCIA,39.4478636630104,-0.343877037739061,,,0,
1015,1015,Jesús Morante Borrás (VIII),AV JESUS MORANTE BORRAS 56 (DAVANT) - VALÈNCIA,39.4493739401903,-0.344281002068258,,,0,
1016,1016,Jesús Morante Borrás (IX),AV JESUS MORANTE BORRAS 26 (DAVANT) - VALÈNCIA,39.4509661982268,-0.345267202233994,,,0,
1020,1020,Metro Alameda,PSEG ALAMEDA 14 (DAVANT JARDÍ VIA CENTRAL) - VALÈNCIA,39.4742070601559,-0.365086520452972,,,0,
1021,1021,Pla del Real,PSEG ALAMEDA 1(DAVANT JARDÍ VIA CENTRAL) - VALÈNCIA,39.4762107259394,-0.366729818044869,,,0,
1026,1026,Ribàs (imparell) - Ador,CAMI RIBAS DAVANT  ADOR - CASTELLAR-OLIVERAL,39.4325290316419,-0.360897359963084,,,0,
1027,1027,Major de Castellar - Caroig,C  18 - VALÈNCIA,39.4324364000019,-0.362707137756935,,,0,
1028,1028,Mare de Déu de Lepant (imparell) - Escultor Frederic Siurana,PL VIRGEN DE LEPANTO 7 - CASTELLAR-OLIVERAL,39.4295031288394,-0.363665971447041,,,0,
1029,1029,Vicent Puchol - Font de Bonet,C VICENTE PUCHOL 72 - CASTELLAR-OLIVERAL,39.4266084095148,-0.364195059022159,,,0,
1030,1030,Crist del Refugi - Davant Sant Agustí,C CRISTO DEL REFUGIO 60 - CASTELLAR-OLIVERAL,39.4244861345336,-0.363944337407212,,,0,
1032,1032,Tírig - Guàrdia Civil,C TIRIG 4 - VALÈNCIA,39.4822289752108,-0.35911566424109,,,0,
1035,1035,Aragó - Finlàndia,AV ARAGÓN 22 (DAVANT INSTITUT) - VALÈNCIA,39.470921994457,-0.358522515460942,,,0,
1036,1036,Uruguai - Veneçuela,C URUGUAY 38 - VALÈNCIA,39.455643516613,-0.387053610609091,,,0,
1038,1038,Arxiduc Carles (imparell) - Tres Forques,C ARCHIDUQUE CARLOS 63 - VALÈNCIA,39.4635291562968,-0.396386208891905,,,0,
1039,1039,Ernest Ferrer - Aragó,C ERNESTO FERRER 1 - VALÈNCIA,39.4723529435433,-0.356974583075343,,,0,
1041,1041,Plaça d'Espanya (imparell) - Ramón y Cajal,GV RAMON Y CAJAL 25 - VALÈNCIA,39.4659720246335,-0.382154005273095,,,0,
1042,1042,Regne de València - Ciscar,AV REGNE DE VALENCIA 73 - VALÈNCIA,39.4628042583123,-0.363190019816053,,,0,
1044,1044,Poliesportiu de Burjassot,AV VICENTE ANDRES ESTELLES POLIESPORTIU - BURJASSOT,39.5078075415364,-0.416716322265703,,,0,
1050,1050,Mediterrània - Vicent Brull,C MEDITERRANEO 4 - VALÈNCIA,39.4678649856586,-0.332313308069398,,,0,
1052,1052,Eugenia Viñes - Mare de Déu del Sufragi,C EUGENIA VIÑES 109 (DAVANT BALNEARI) - VALÈNCIA,39.4668895667483,-0.325286040381602,,,0,
1054,1054,Aragó - Saragossa,AV ARAGÓN 4 - VALÈNCIA,39.4686498358746,-0.359977247461035,,,0,
1055,1055,Aragó - Ernest Ferrer,AV ARAGÓN 34 - VALÈNCIA,39.4728189008106,-0.356996623614021,,,0,
1057,1057,Estadi de Mestalla (front),AV ARAGÓN 42 (ACCÉS) - VALÈNCIA,39.474951601851,-0.355950783344536,,,0,
1060,1060,Pere Cabanes - Mont Carmel,C PEDRO CABANES 10 - VALÈNCIA,39.495423208267,-0.372785306001156,,,0,
1061,1061,Pere Cabanes - Sant Doménec Savio,C PEDRO CABANES 58 - VALÈNCIA,39.494984980555,-0.375328631516903,,,0,
1062,1062,Pere Cabanes - Bisbe Laguarda,C PEDRO CABANES 88 - VALÈNCIA,39.4942418992021,-0.37878291980358,,,0,
1067,1067,Equador - Pintor Matarana,AV ECUADOR  EL 93 (DAVANT) - VALÈNCIA,39.4960789674019,-0.392778232094679,,,0,
1080,1080,Sant Vicent de Paül - Peníscola,C SAN VICENTE DE PAUL 15 - VALÈNCIA,39.4908807862021,-0.370581476255494,,,0,
1083,1083,Aragó - Amadeu de Savoia,AV ARAGÓN 25 - VALÈNCIA,39.4726482374319,-0.357689979248706,,,0,
1085,1085,Aragó - Xile,AV ARAGÓN 16 - VALÈNCIA,39.4701728829585,-0.358289505030557,,,0,
