stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1153,1153,Polvorí - Velòdrom Lluís Puig,,4375683.013,721283.134,,,0,
1158,1158,Passeig Marítim - Séquia de la Cadena,,4372741.276,730126.047,,,0,
1159,1159,Passeig Marítim - Platja de la Malva-rosa,,4373135.797,730118.195,,,0,
116,116,Blasco Ibáñez - Doctor Manuel Candela,,4372750.863125,728030.63375,,,0,
1160,1160,Passeig Marítim - Vicent la Roda,,4373354.488,730111.046,,,0,
1161,1161,Passeig Marítim - Font d'en Carròs,,4373602.424,730099.766,,,0,
1162,1162,Passeig Marítim - Mendizábal,,4373854.915,730046.821,,,0,
1163,1163,Isabel de Villena - Font d'en Carròs,,4373587.616,730003.28,,,0,
1164,1164,Isabel de Villena - Vicent la Roda,,4373344.137,730005.589,,,0,
1165,1165,Centre de Salut Malva-rosa,,4373114.148375,730014.866625,,,0,
1168,1168,Comissaria Policia Local Marítim,,4371569.434875,729818.982,,,0,
117,117,Ramon Llull - Escultor Alfons Gabino,,4372877.532625,728183.792625,,,0,
1170,1170,Foc - Amadeu Desfilis,,4375499.493375,724032.51475,,,0,
1175,1175,Tres Creus - Segona República Espanyola,,4370893.009,723453.914,,,0,
1176,1176,Tres Creus - Doctor Pérez Feliu,,4371103.31975,723343.635,,,0,
1177,1177,Tres Creus - Tres Forques,,4371349.649,723208.814,,,0,
1183,1183,General Avilés - Doctor Nicasi Benlloch,,4374195.1735,724362.141875,,,0,
1184,1184,General Avilés - Miguel Servet (parell),,4374055.75,724124.697,,,0,
1190,1190,Tres Creus - Dels Hostalers,,4371070.055,723350.969,,,0,
1199,1199,Comte de Torrefiel - Escultor Piquer,,4374687.711125,725685.9605,,,0,
12,12,Doctor Lluch - Metro Cabanyal,,4372529.077,729875.484,,,0,
1210,1210,Blasco Ibáñez - Serradora,,4372395.98375,729193.1395,,,0,
1211,1211,Blasco Ibáñez (imparell) - José María Haro,,4372454.24,729046.1575,,,0,
