route_id,service_id,trip_id,trip_headsign,shape_id
V1-20-36,2809,4501801,Seminari - CEU,48
V1-20-36,2809,4502117,València Sud,48
V1-20-39,2809,4501800,Bétera,48
V1-20-39,2809,4502116,València Sud,48
V1-20-36,2809,4501799,Seminari - CEU,48
V1-20-36,2809,4502115,València Sud,48
V1-20-39,2809,4501798,Bétera,48
V1-20-39,2809,4502114,València Sud,48
V1-20-36,2809,4501797,Seminari - CEU,48
V1-20-36,2809,4502113,València Sud,48
V1-20-39,2809,4501796,Bétera,48
V1-20-39,2809,4502112,València Sud,48
V1-20-36,2809,4501795,Seminari - CEU,48
V1-20-36,2809,4502111,València Sud,48
V1-20-39,2809,4501794,Bétera,48
V1-20-39,2809,4502110,València Sud,48
V1-20-36,2809,4501793,Seminari - CEU,48
V1-20-36,2809,4502109,València Sud,48
V1-20-39,2809,4501792,Bétera,48
V1-20-39,2809,4502108,València Sud,48
V1-20-36,2809,4501791,Seminari - CEU,48
V1-20-36,2809,4502107,València Sud,48
V1-20-39,2809,4501790,Bétera,48
V1-20-39,2809,4502106,València Sud,48
V1-20-36,2809,4501789,Seminari - CEU,48
V1-20-36,2809,4502105,València Sud,48
V1-20-39,2809,4501788,Bétera,48
V1-20-39,2809,4502104,València Sud,48
V1-20-36,2809,4501787,Seminari - CEU,48
V1-20-36,2809,4502103,València Sud,48
V1-20-39,2809,4501786,Bétera,48
V1-20-39,2809,4502102,València Sud,48
V1-20-36,2809,4502101,València Sud,48
V1-20-39,2809,4501785,Bétera,48
V1-20-39,2809,4502100,València Sud,48
V1-20-29,2809,4501784,Empalme,48
V1-20-39,2809,4502099,València Sud,48
V1-20-29,2809,4501783,Empalme,48
V2-20-54,2809,4501782,Llíria,47
V2-20-54,2809,4501781,Llíria,47
V2-20-44,2809,4501780,Paterna,47
V2-20-44,2809,4502098,València Sud,47
V2-20-54,2809,4501779,Llíria,47
V2-20-44,2809,4502097,València Sud,47
V2-20-44,2809,4501778,Paterna,47
V2-20-54,2809,4502096,València Sud,47
V2-20-54,2809,4501777,Llíria,47
V2-20-44,2809,4502095,València Sud,47
V2-20-44,2809,4501776,Paterna,47
V2-20-54,2809,4502094,València Sud,47
V2-20-54,2809,4501775,Llíria,47
V2-20-44,2809,4502093,València Sud,47
V2-20-44,2809,4501774,Paterna,47
V2-20-54,2809,4502092,València Sud,47
V2-20-54,2809,4501773,Llíria,47
V2-20-44,2809,4502091,València Sud,47
V2-20-44,2809,4501772,Paterna,47
V2-20-54,2809,4502090,València Sud,47
V2-20-54,2809,4501771,Llíria,47
V2-20-44,2809,4502089,València Sud,47
V2-20-44,2809,4501770,Paterna,47
V2-20-54,2809,4502088,València Sud,47
V2-20-54,2809,4501769,Llíria,47
V2-20-44,2809,4502087,València Sud,47
V2-20-44,2809,4501768,Paterna,47
V2-20-54,2809,4502086,València Sud,47
V2-20-54,2809,4501767,Llíria,47
V2-20-44,2809,4502085,València Sud,47
V2-20-44,2809,4501766,Paterna,47
V2-20-54,2809,4502084,València Sud,47
V2-20-54,2809,4501765,Llíria,47
V2-20-44,2809,4502083,València Sud,47
V2-20-44,2809,4501764,Paterna,47
V2-20-54,2809,4502082,València Sud,47
V2-20-54,2809,4501763,Llíria,47
V2-20-44,2809,4502081,València Sud,47
V2-20-44,2809,4501762,Paterna,47
V2-20-54,2809,4502080,València Sud,47
V2-20-54,2809,4501761,Llíria,47
V2-20-44,2809,4502079,València Sud,47
V2-20-44,2809,4502153,Paterna,47
V2-20-54,2809,4502078,València Sud,47
V2-20-54,2809,4502154,Llíria,47
V2-20-44,2809,4502077,València Sud,47
V2-20-44,2809,4502155,Paterna,47
V2-20-54,2809,4502076,València Sud,47
V2-20-54,2809,4502156,Llíria,47
V2-20-44,2809,4502075,València Sud,47
V2-20-44,2809,4502157,Paterna,47
V2-20-54,2809,4502074,València Sud,47
V2-20-54,2809,4502158,Llíria,47
V2-20-44,2809,4502073,València Sud,47
V2-20-44,2809,4502159,Paterna,47
V2-20-54,2809,4502072,València Sud,47
V2-20-54,2809,4502160,Llíria,47
V2-20-44,2809,4502071,València Sud,47
V2-20-44,2809,4502161,Paterna,47
V2-20-54,2809,4502070,València Sud,47
V2-20-54,2809,4502162,Llíria,47
V2-20-44,2809,4502069,València Sud,47
V2-20-44,2809,4502163,Paterna,47
V2-20-54,2809,4502068,València Sud,47
V2-20-54,2809,4502164,Llíria,47
V2-20-44,2809,4502067,València Sud,47
V2-20-44,2809,4502165,Paterna,47
V2-20-54,2809,4502066,València Sud,47
V2-20-54,2809,4502166,Llíria,47
V2-20-44,2809,4502065,València Sud,47
V2-20-44,2809,4502167,Paterna,47
V2-20-54,2809,4502064,València Sud,47
V2-20-54,2809,4502168,Llíria,47
V2-20-44,2809,4502063,València Sud,47
V2-20-44,2809,4502169,Paterna,47
V2-20-54,2809,4502062,València Sud,47
V2-20-54,2809,4502170,Llíria,47
V2-20-44,2809,4502061,València Sud,47
V2-20-44,2809,4502171,Paterna,47
V2-20-54,2809,4502060,València Sud,47
V2-20-54,2809,4502172,Llíria,47
V2-20-44,2809,4502059,València Sud,47
V2-20-44,2809,4502173,Paterna,47
V2-20-54,2809,4502058,València Sud,47
V2-20-54,2809,4502174,Llíria,47
V2-20-44,2809,4502057,València Sud,47
V2-20-44,2809,4502175,Paterna,47
V2-20-54,2809,4502056,València Sud,47
V2-20-54,2809,4502176,Llíria,47
V2-20-44,2809,4502055,València Sud,47
V2-20-44,2809,4502177,Paterna,47
V2-20-54,2809,4502054,València Sud,47
V2-20-54,2809,4502178,Llíria,47
V2-20-44,2809,4502053,València Sud,47
V2-20-44,2809,4502179,Paterna,47
V2-20-54,2809,4502052,València Sud,47
V2-20-54,2809,4502180,Llíria,47
V2-20-44,2809,4502051,València Sud,47
V2-20-44,2809,4502181,Paterna,47
V2-20-54,2809,4502050,València Sud,47
V2-20-54,2809,4502182,Llíria,47
V2-20-44,2809,4502049,València Sud,47
V2-20-54,2809,4502048,València Sud,47
V2-20-54,2809,4502047,València Sud,47
V2-20-54,2809,4502046,València Sud,47
V3-66-64,2809,4502183,Rafelbunyol,43
V3-182-66,2809,4502045,Aeroport,43
V3-182-64,2809,4502184,Rafelbunyol,43
V3-182-66,2809,4502044,Aeroport,43
V3-182-64,2809,4502185,Rafelbunyol,43
V3-182-66,2809,4502043,Aeroport,43
V3-182-64,2809,4502186,Rafelbunyol,43
V3-182-64,2809,4502042,Aeroport,43
V3-182-64,2809,4502187,Rafelbunyol,43
V3-182-66,2809,4502041,Aeroport,43
V3-182-64,2809,4502188,Rafelbunyol,43
V3-182-64,2809,4502040,Aeroport,43
V3-182-64,2809,4502189,Rafelbunyol,43
V3-182-56,2809,4502039,Aeroport,43
V3-182-64,2809,4502190,Rafelbunyol,43
V3-182-64,2809,4502038,Aeroport,43
V3-182-64,2809,4502191,Rafelbunyol,43
V3-182-64,2809,4502037,Aeroport,43
V3-182-64,2809,4502192,Rafelbunyol,43
V3-182-64,2809,4502036,Aeroport,43
V3-182-64,2809,4502193,Rafelbunyol,43
V3-182-64,2809,4502035,Aeroport,43
V3-182-64,2809,4502194,Rafelbunyol,43
V3-182-64,2809,4502034,Aeroport,43
V3-182-64,2809,4502195,Rafelbunyol,43
V3-182-64,2809,4502033,Aeroport,43
V3-182-64,2809,4502196,Rafelbunyol,43
V3-182-64,2809,4502032,Aeroport,43
V3-182-64,2809,4502197,Rafelbunyol,43
V3-182-64,2809,4502031,Aeroport,43
V3-182-64,2809,4502198,Rafelbunyol,43
V3-182-64,2809,4502030,Aeroport,43
V3-182-64,2809,4502199,Rafelbunyol,43
V3-182-64,2809,4502029,Aeroport,43
V3-182-64,2809,4502200,Rafelbunyol,43
V3-182-64,2809,4502028,Aeroport,43
V3-182-64,2809,4502201,Rafelbunyol,43
V3-182-64,2809,4502027,Aeroport,43
V3-182-64,2809,4502202,Rafelbunyol,43
V3-182-64,2809,4502026,Aeroport,43
V3-182-64,2809,4502203,Rafelbunyol,43
V3-182-64,2809,4502025,Aeroport,43
V3-182-64,2809,4502204,Rafelbunyol,43
V3-182-64,2809,4502024,Aeroport,43
V3-182-64,2809,4502205,Rafelbunyol,43
V3-182-64,2809,4502023,Aeroport,43
V3-182-64,2809,4502206,Rafelbunyol,43
V3-182-64,2809,4502022,Aeroport,43
V3-182-64,2809,4502207,Rafelbunyol,43
V3-182-64,2809,4502021,Aeroport,43
V3-182-64,2809,4502208,Rafelbunyol,43
V3-182-64,2809,4502020,Aeroport,43
V3-182-64,2809,4502209,Rafelbunyol,43
V3-182-64,2809,4502019,Aeroport,43
V3-182-64,2809,4502210,Rafelbunyol,43
V3-182-64,2809,4502018,Aeroport,43
V3-182-64,2809,4502211,Rafelbunyol,43
V3-182-64,2809,4502017,Aeroport,43
V3-182-64,2809,4502212,Rafelbunyol,43
V3-182-64,2809,4502016,Aeroport,43
V3-182-64,2809,4502213,Rafelbunyol,43
V3-182-64,2809,4502015,Aeroport,43
V3-182-64,2809,4502214,Rafelbunyol,43
V3-182-64,2809,4502014,Aeroport,43
V3-182-64,2809,4502215,Rafelbunyol,43
V3-182-64,2809,4502013,Aeroport,43
V3-182-64,2809,4502216,Rafelbunyol,43
V3-182-64,2809,4502012,Aeroport,43
V3-182-64,2809,4502217,Rafelbunyol,43
V3-182-64,2809,4502011,Aeroport,43
V3-182-64,2809,4502218,Rafelbunyol,43
V3-182-64,2809,4502010,Aeroport,43
V3-182-64,2809,4502219,Rafelbunyol,43
V3-182-64,2809,4502009,Aeroport,43
V3-182-64,2809,4502220,Rafelbunyol,43
V3-182-64,2809,4502008,Aeroport,43
V3-182-64,2809,4502221,Rafelbunyol,43
V3-182-64,2809,4502007,Aeroport,43
V3-182-64,2809,4502222,Rafelbunyol,43
V3-182-64,2809,4502006,Aeroport,43
V3-182-64,2809,4502223,Rafelbunyol,43
V3-182-64,2809,4502005,Aeroport,43
V3-182-64,2809,4502224,Rafelbunyol,43
V3-182-64,2809,4502004,Aeroport,43
V3-182-64,2809,4502225,Rafelbunyol,43
V3-182-64,2809,4502003,Aeroport,43
V3-182-64,2809,4502226,Rafelbunyol,43
V3-182-64,2809,4502002,Aeroport,43
V3-182-64,2809,4502227,Rafelbunyol,43
V3-182-64,2809,4502001,Aeroport,43
V3-182-66,2809,4502228,Machado,43
V3-182-64,2809,4502000,Aeroport,43
V3-182-64,2809,4502229,Rafelbunyol,43
V3-182-64,2809,4501999,Aeroport,43
V3-182-66,2809,4502230,Machado,43
V3-182-64,2809,4501998,Aeroport,43
V3-182-64,2809,4502231,Rafelbunyol,43
V3-182-64,2809,4501997,Aeroport,43
V3-182-66,2809,4502232,Machado,43
V3-182-64,2809,4501996,Aeroport,43
V3-182-64,2809,4502233,Rafelbunyol,43
V3-182-64,2809,4501995,Aeroport,43
V3-182-66,2809,4502234,Machado,43
V3-182-64,2809,4501994,Aeroport,43
V3-182-66,2809,4502235,Machado,43
V3-182-64,2809,4501993,Aeroport,43
V3-182-66,2809,4502236,Machado,43
V4-94-102,2809,4502391,Vicent Andrés Estellés,25
V4-95-98,2809,4502610,Dr. Lluch,5
V4-98-114,2809,4502392,Mas del Rosari,5
V4-95-98,2809,4502611,Dr. Lluch,5
V4-98-102,2809,4502395,Vicent Andrés Estellés,5
V4-95-98,2809,4502612,Dr. Lluch,5
V4-98-114,2809,4502396,Mas del Rosari,5
V4-95-98,2809,4502613,Dr. Lluch,5
V4-98-102,2809,4502399,Vicent Andrés Estellés,5
V4-102-98,2809,4502615,Dr. Lluch,25
V4-98-114,2809,4502400,Mas del Rosari,5
V4-114-98,2809,4502616,Dr. Lluch,25
V4-98-102,2809,4502403,Vicent Andrés Estellés,5
V4-102-98,2809,4502619,Dr. Lluch,25
V4-98-114,2809,4502404,Mas del Rosari,5
V4-114-98,2809,4502620,Dr. Lluch,25
V4-98-102,2809,4502407,Vicent Andrés Estellés,5
V4-102-98,2809,4502623,Dr. Lluch,25
V4-98-114,2809,4502408,Mas del Rosari,5
V4-114-98,2809,4502625,Dr. Lluch,25
V4-98-102,2809,4502410,Vicent Andrés Estellés,5
V4-95-98,2809,4502627,Dr. Lluch,5
V4-98-114,2809,4502413,Mas del Rosari,5
V4-102-98,2809,4502629,Dr. Lluch,25
V4-98-102,2809,4502414,Vicent Andrés Estellés,5
V4-95-98,2809,4502631,Dr. Lluch,5
V4-98-102,2809,4502416,Vicent Andrés Estellés,5
V4-114-98,2809,4502632,Dr. Lluch,25
V4-98-102,2809,4502418,Vicent Andrés Estellés,5
V4-95-98,2809,4502635,Dr. Lluch,5
V4-98-114,2809,4502420,Mas del Rosari,5
V4-102-98,2809,4502637,Dr. Lluch,25
V4-98-102,2809,4502421,Vicent Andrés Estellés,5
V4-95-98,2809,4502639,Dr. Lluch,5
V4-98-102,2809,4502424,Vicent Andrés Estellés,5
V4-114-98,2809,4502641,Dr. Lluch,25
V4-98-114,2809,4502426,Mas del Rosari,5
V4-95-98,2809,4502645,Dr. Lluch,5
V4-98-102,2809,4502428,Vicent Andrés Estellés,5
V4-102-98,2809,4502646,Dr. Lluch,25
V4-98-102,2809,4502430,Vicent Andrés Estellés,5
V4-102-98,2809,4502648,Dr. Lluch,25
V4-98-114,2809,4502433,Mas del Rosari,5
V4-114-98,2809,4502650,Dr. Lluch,25
V4-98-102,2809,4502435,Vicent Andrés Estellés,5
V4-102-98,2809,4502652,Dr. Lluch,25
V4-98-102,2809,4502437,Vicent Andrés Estellés,5
V4-102-98,2809,4502655,Dr. Lluch,25
V4-98-114,2809,4502440,Mas del Rosari,5
V4-102-98,2809,4502657,Dr. Lluch,25
V4-98-102,2809,4502442,Vicent Andrés Estellés,5
V4-114-98,2809,4502659,Dr. Lluch,25
V4-98-102,2809,4502444,Vicent Andrés Estellés,5
V4-102-98,2809,4502662,Dr. Lluch,25
V4-98-114,2809,4502447,Mas del Rosari,5
V4-102-98,2809,4502664,Dr. Lluch,25
V4-98-102,2809,4502449,Vicent Andrés Estellés,5
V4-114-98,2809,4502666,Dr. Lluch,25
V4-98-102,2809,4502451,Vicent Andrés Estellés,5
V4-102-98,2809,4502669,Dr. Lluch,25
V4-98-114,2809,4502454,Mas del Rosari,5
V4-102-98,2809,4502671,Dr. Lluch,25
V4-98-102,2809,4502456,Vicent Andrés Estellés,5
V4-114-98,2809,4502673,Dr. Lluch,25
V4-98-102,2809,4502458,Vicent Andrés Estellés,5
V4-102-98,2809,4502676,Dr. Lluch,25
V4-98-114,2809,4502461,Mas del Rosari,5
V4-102-98,2809,4502678,Dr. Lluch,25
V4-98-102,2809,4502463,Vicent Andrés Estellés,5
V4-114-98,2809,4502680,Dr. Lluch,25
V4-98-102,2809,4502465,Vicent Andrés Estellés,5
V4-102-98,2809,4502683,Dr. Lluch,25
V4-98-114,2809,4502468,Mas del Rosari,5
V4-102-98,2809,4502685,Dr. Lluch,25
V4-98-102,2809,4502470,Vicent Andrés Estellés,5
V4-114-98,2809,4502687,Dr. Lluch,25
V4-98-102,2809,4502472,Vicent Andrés Estellés,5
V4-102-98,2809,4502690,Dr. Lluch,25
V4-98-114,2809,4502475,Mas del Rosari,5
V4-102-98,2809,4502692,Dr. Lluch,25
V4-98-102,2809,4502477,Vicent Andrés Estellés,5
V4-114-98,2809,4502694,Dr. Lluch,25
V4-98-102,2809,4502479,Vicent Andrés Estellés,5
V4-102-98,2809,4502697,Dr. Lluch,25
V4-98-114,2809,4502482,Mas del Rosari,5
V4-102-98,2809,4502699,Dr. Lluch,25
